iso2,variable,year,country,value,type
CZ,LStK,1995,Tschechische Republik,40.6411866670003,Gesamtwirtschaft
CZ,LStK,1996,Tschechische Republik,46.2673070988699,Gesamtwirtschaft
CZ,LStK,1997,Tschechische Republik,48.9688262899028,Gesamtwirtschaft
CZ,LStK,1998,Tschechische Republik,52.3049582084399,Gesamtwirtschaft
CZ,LStK,1999,Tschechische Republik,52.4346023584534,Gesamtwirtschaft
CZ,LStK,2000,Tschechische Republik,55.8410652628598,Gesamtwirtschaft
CZ,LStK,2001,Tschechische Republik,61.3267468900724,Gesamtwirtschaft
CZ,LStK,2002,Tschechische Republik,72.4323994332173,Gesamtwirtschaft
CZ,LStK,2003,Tschechische Republik,72.5375945076221,Gesamtwirtschaft
CZ,LStK,2004,Tschechische Republik,74.5228965217432,Gesamtwirtschaft
CZ,LStK,2005,Tschechische Republik,79.4406585525265,Gesamtwirtschaft
CZ,LStK,2006,Tschechische Republik,84.0593335654693,Gesamtwirtschaft
CZ,LStK,2007,Tschechische Republik,88.1491624837668,Gesamtwirtschaft
CZ,LStK,2008,Tschechische Republik,101.980392925944,Gesamtwirtschaft
CZ,LStK,2009,Tschechische Republik,98.6232910653044,Gesamtwirtschaft
CZ,LStK,2010,Tschechische Republik,103.18994365414,Gesamtwirtschaft
CZ,LStK,2011,Tschechische Republik,106.632557569622,Gesamtwirtschaft
CZ,LStK,2012,Tschechische Republik,107.368538028523,Gesamtwirtschaft
CZ,LStK,2013,Tschechische Republik,104.222931365855,Gesamtwirtschaft
CZ,LStK,2014,Tschechische Republik,99.4102424399342,Gesamtwirtschaft
CZ,LStK,2015,Tschechische Republik,100,Gesamtwirtschaft
CZ,LStK,2016,Tschechische Republik,104.294067060107,Gesamtwirtschaft
CZ,LStK,2017,Tschechische Republik,110.798002829374,Gesamtwirtschaft
CZ,LStK,2018,Tschechische Republik,121.132549563955,Gesamtwirtschaft
CZ,LStK,2019,Tschechische Republik,125.688148940247,Gesamtwirtschaft
CZ,LStK,2020,Tschechische Republik,130.864678593983,Gesamtwirtschaft
CZ,LStK,2021,Tschechische Republik,139.164533019585,Gesamtwirtschaft
CZ,LStK,2022,Tschechische Republik,152.483172695604,Gesamtwirtschaft
CZ,LStK,2023,Tschechische Republik,168.376172392902,Gesamtwirtschaft
CZ,LStK,2024,Tschechische Republik,178.983871253654,Gesamtwirtschaft
CZ,LStK,2025,Tschechische Republik,186.322209975054,Gesamtwirtschaft
DE,BEG,1995,Deutschland,75.8502133316401,Gesamtwirtschaft
DE,BEG,1996,Deutschland,75.2133533126245,Gesamtwirtschaft
DE,BEG,1997,Deutschland,73.6027209640631,Gesamtwirtschaft
DE,BEG,1998,Deutschland,74.1162508505721,Gesamtwirtschaft
